Name,Price,Offer,Brand
ROG Strix G15,1099.0,999.0,Asus
Macbook Air M2,1499.0,1399.0,Apple
Spectre X360,2499.0,2199.0,HP
Vivobook 15,649.0,599.0,Asus
Omen 16,2099.0,1899.0,HP
Thinkbook 13x,1599.0,1499.0,Lenovo
Yoga Slim 6i,1199.0,1049.0,Lenovo
Galaxy Book3 Ultra,3199.0,2999.0,Samsung
Aspire 3,499.0,399.0,Acer
Nitro 5,1399.0,1249.0,Acer
X515,449.0,399.0,Asus
Victus 16,1099.0,999.0,HP
Pavilion 15,949.0,849.0,HP
Legion 7i,2199.0,1999.0,Lenovo
Tuf Dash F15,1149.0,1049.0,Asus
Victus 15,949.0,849.0,HP
Mackbook Pro M1,3099.0,2899.0,Apple
Thinkbook 14,899.0,799.0,Lenovo
Thinkbook 14s Yoga,1199.0,1099.0,Lenovo
Aspire Vero,649.0,599.0,Acer
